FPR,TPR,Threshold
0.0,0.0,1.9268408803639148
0.0,0.011764705882352941,0.9268408803639148
0.0,0.047058823529411764,0.9013573922753191
0.044444444444444446,0.047058823529411764,0.8885430265104765
0.044444444444444446,0.09411764705882353,0.8548623962084236
0.06666666666666667,0.09411764705882353,0.8476913724556097
0.06666666666666667,0.16470588235294117,0.8170896114282281
0.08888888888888889,0.16470588235294117,0.8145242045214991
0.08888888888888889,0.17647058823529413,0.8132575336182762
0.13333333333333333,0.17647058823529413,0.8115614984811451
0.13333333333333333,0.2,0.8102709284352757
0.17777777777777778,0.2,0.8093147108861519
0.17777777777777778,0.3411764705882353,0.8039004570904495
0.2,0.3411764705882353,0.8034928460985934
0.2,0.43529411764705883,0.8018986602152299
0.2222222222222222,0.43529411764705883,0.8018323306493866
0.2222222222222222,0.47058823529411764,0.7998271550409644
0.24444444444444444,0.47058823529411764,0.7997569150917998
0.24444444444444444,0.49411764705882355,0.7993783225498554
0.26666666666666666,0.49411764705882355,0.7991700637902012
0.26666666666666666,0.5882352941176471,0.7960021968528619
0.28888888888888886,0.5882352941176471,0.7952414980564714
0.28888888888888886,0.6941176470588235,0.7926837192649595
0.3111111111111111,0.6941176470588235,0.7925881001717634
0.3111111111111111,0.7058823529411765,0.7924438513776357
0.3333333333333333,0.7058823529411765,0.7918674510670609
0.3333333333333333,0.7294117647058823,0.7906024326554897
0.35555555555555557,0.7294117647058823,0.7903044328843096
0.35555555555555557,0.788235294117647,0.786958312145082
0.37777777777777777,0.788235294117647,0.7854819190774067
0.37777777777777777,0.8,0.785363890998173
0.4,0.8,0.7830311252827057
0.4,0.8117647058823529,0.7828827735442175
0.4222222222222222,0.8117647058823529,0.7825974222111322
0.4222222222222222,0.8235294117647058,0.7824993047284526
0.4666666666666667,0.8235294117647058,0.7817799369747349
0.4666666666666667,0.9529411764705882,0.7707201025237618
0.4888888888888889,0.9529411764705882,0.7598883926812652
0.4888888888888889,0.9764705882352941,0.748704413045676
0.5111111111111111,0.9764705882352941,0.7440255894930511
0.5111111111111111,0.9882352941176471,0.7232959578487969
0.5333333333333333,0.9882352941176471,0.7193869820713336
0.5333333333333333,1.0,0.7109735673764653
1.0,1.0,0.12102869065650489
